"#","Date (UTC)","Time (UTC)","Solar Array 1A - Drive Voltage (V)","Solar Array 1A - Drive Current (A)","Solar Array 1A - BGA Position (degrees)","Solar Array 1B - Drive Voltage (V)","Solar Array 1B - Drive Current (A)","Solar Array 1B - BGA Position (degrees)","Solar Array 2A - Drive Voltage (V)","Solar Array 2A - Drive Current (A)","Solar Array 2A - BGA Position (degrees)","Solar Array 2B - DDrive Voltage (V)","Solar Array 2B - DDrive Current (A)","Solar Array 2B - DBGA Position (degrees)","Solar Array 3A - Drive Voltage (V)","Solar Array 3A - Drive Current (A)","Solar Array 3A - BGA Position (degrees)","Solar Array 3B - Drive Voltage (V)","Solar Array 3B - Drive Current (A)","Solar Array 3B - BGA Position (degrees)","Solar Array 4A - Drive Voltage (V)","Solar Array 4A - Drive Current (A)","Solar Array 4A - BGA Position (degrees)","Solar Array 4B - DDrive Voltage (V)","Solar Array 4B - DDrive Current (A)","Solar Array 4B - DBGA Position (degrees)","Starboard Joint Angle Position (degrees)","Port Joint Angle Position (degrees)"
"10","7/22/2016","20:29:41","159.8583984375","-49.1675984840084","359.0771484375","160.576171875","-44.3218345556156","310.989990234375","159.55078125","-57.4990406269427","130.770263671875","159.4482421875","-48.0807580639664","189.651489257813","160.37109375","-37.4471675522752","0.9393310546875","161.0888671875","-34.4517486759876","28.905029296875","158.8330078125","-43.2854508775678","209.031372070313","151.7578125","-53.5070736276828","181.417236328125","341.996643066406","18.2730522155762"
"11","7/22/2016","20:29:51","159.8583984375","-49.1714440861686","359.0771484375","160.576171875","-44.3607056580858","311.011962890625","159.55078125","-57.6368718916692","130.968017578125","159.4482421875","-48.2301993847385","189.541625976563","160.2685546875","-37.6918210992299","0.9613037109375","161.0888671875","-34.1615705244124","28.89404296875","158.73046875","-43.3058264648865","208.992919921875","151.7578125","-53.7040172913291","181.417236328125","342.633850097656","17.6468315124512"
"12","7/22/2016","20:30:01","159.9609375","-48.7417621381338","359.060668945313","160.576171875","-44.412285560076","311.033935546875","159.55078125","-57.6414621977398","131.182250976563","159.4482421875","-48.8671653933393","189.530639648438","160.2685546875","-38.1620833062506","0.9832763671875","161.0888671875","-33.7939675826783","28.89404296875","158.73046875","-43.3287657869787","208.965454101563","151.7578125","-53.6372136880888","181.411743164063","343.276550292969","17.0041313171387"
"13","7/22/2016","20:30:11","159.9609375","-48.4526461052505","358.906860351563","160.576171875","-44.436506749555","311.039428710938","159.55078125","-57.7286169717772","131.303100585938","159.4482421875","-49.5968409346535","189.503173828125","160.2685546875","-38.1694693040504","0.9942626953125","160.986328125","-33.7582217949795","28.883056640625","158.73046875","-43.3434767412741","208.756713867188","151.7578125","-53.2972502488649","181.417236328125","343.913757324219","16.3724174499512"
"14","7/22/2016","20:30:21","159.9609375","-48.4367753661766","358.582763671875","160.576171875","-44.5171301040504","311.055908203125","159.55078125","-57.8261121427343","131.46240234375","159.4482421875","-48.8484989625363","189.212036132813","160.166015625","-38.6590205631763","1.0107421875","160.986328125","-33.7919654279028","28.828125","158.73046875","-43.3671119342334","208.591918945313","151.7578125","-52.9829119491149","181.417236328125","344.550964355469","15.740704536438"
"15","7/22/2016","20:30:31","159.8583984375","-49.039802409681","358.472900390625","160.576171875","-44.0486258865887","311.1328125","159.55078125","-57.802757739774","131.46240234375","159.55078125","-48.206368859606","188.651733398438","160.166015625","-38.5889573542954","1.0272216796875","160.986328125","-33.8260875169117","28.67431640625","158.73046875","-42.9907922942694","208.515014648438","151.7578125","-53.0989026352235","181.417236328125","345.188171386719","15.092511177063"
"16","7/22/2016","20:30:41","159.8583984375","-49.217041940354","358.445434570313","160.576171875","-43.8554667837984","311.314086914063","159.55078125","-57.7847017220122","131.46240234375","159.55078125","-48.1629074510651","188.245239257813","160.166015625","-38.5830851808381","1.1865234375","161.0888671875","-33.8399438929493","28.553466796875","158.8330078125","-42.8696008890489","208.49853515625","151.7578125","-53.1447324463646","181.417236328125","345.830871582031","14.466290473938"
"17","7/22/2016","20:30:51","159.8583984375","-49.2093629442944","358.43994140625","160.576171875","-43.8556010746675","311.500854492188","159.55078125","-57.6728618445845","131.467895507813","159.55078125","-48.1107781773377","188.058471679688","160.166015625","-38.5631612991699","1.5765380859375","161.0888671875","-33.9045744257626","28.531494140625","158.8330078125","-42.9012569093709","208.493041992188","151.7578125","-53.0524379945195","181.411743164063","346.473571777344","13.8235902786255"
"18","7/22/2016","20:31:01","159.8583984375","-49.1714318779078","358.43994140625","160.576171875","-43.8198552869687","311.66015625","159.55078125","-57.6718973919792","131.467895507813","159.55078125","-48.2092622174217","187.893676757813","160.166015625","-38.5519907405141","1.7193603515625","161.0888671875","-34.1400961936194","28.509521484375","158.8330078125","-42.8856059189919","208.493041992188","151.7578125","-52.8481815826383","181.411743164063","347.116271972656","13.191876411438"
"19","7/22/2016","20:31:11","159.9609375","-48.8078210374637","358.434448242188","160.576171875","-43.80623257216","311.709594726563","159.6533203125","-57.7077896788079","131.478881835938","159.55078125","-48.5041039246325","187.833251953125","160.2685546875","-38.5728058252225","1.746826171875","161.0888671875","-34.1660997891789","28.509521484375","158.8330078125","-42.8678795242724","208.49853515625","151.7578125","-52.7985427941194","181.417236328125","347.753479003906","12.543683052063"
"20","7/22/2016","20:31:21","159.9609375","-48.4571509534954","358.434448242188","160.576171875","-43.8060599522352","311.781005859375","159.6533203125","-57.63407619994","131.50634765625","159.55078125","-49.6658542331033","187.833251953125","160.166015625","-38.5941458651465","1.768798828125","161.0888671875","-34.1784911739174","28.5040283203125","158.8330078125","-42.8561107608361","208.482055664063","151.7578125","-52.6526052442044","181.417236328125","348.401672363281","11.9009828567505"
"21","7/22/2016","20:31:31","159.9609375","-48.4847538312231","358.434448242188","160.4736328125","-44.7145376816082","311.7919921875","159.6533203125","-57.7153954253025","131.610717773438","159.4482421875","-49.5903827646765","187.833251953125","160.37109375","-38.5285752962496","1.768798828125","161.0888671875","-34.2336603045905","28.4930419921875","158.6279296875","-43.7523313963396","208.4765625","151.7578125","-52.5896594513851","181.417236328125","349.044372558594","11.2637758255005"
"22","7/22/2016","20:31:41","159.9609375","-49.0153614715071","358.434448242188","160.4736328125","-47.8229318035804","311.797485351563","159.6533203125","-57.7515929186519","131.621704101563","159.55078125","-48.2860521780178","187.833251953125","160.37109375","-38.37781071232","1.7633056640625","161.0888671875","-34.1110771576358","28.443603515625","158.6279296875","-46.8876447334333","208.465576171875","151.7578125","-52.81402711488","181.417236328125","349.692565917969","10.6155824661255"
"23","7/22/2016","20:31:51","159.9609375","-49.2744207662366","358.423461914063","160.4736328125","-47.8171572962096","311.797485351563","159.6533203125","-57.81825433472","131.649169921875","159.55078125","-48.3495961756176","187.833251953125","160.37109375","-37.9833665760176","1.768798828125","160.986328125","-33.8735288184819","28.3062744140625","158.6279296875","-46.859382609621","208.333740234375","151.7578125","-53.4751368173617","181.422729492188","350.340759277344","9.97837543487549"
"24","7/22/2016","20:32:01","159.9609375","-49.311668170017","358.423461914063","160.37109375","-47.8394251639564","311.797485351563","159.6533203125","-58.0251067941994","131.737060546875","159.6533203125","-48.4567358726273","187.838745117188","160.37109375","-38.0051949463746","1.7742919921875","161.0888671875","-33.8235115738774","28.1854248046875","158.6279296875","-46.8431456227223","208.135986328125","151.7578125","-53.4749659017102","181.422729492188","350.983459472656","9.33018207550049"
"25","7/22/2016","20:32:11","159.9609375","-49.3487202416242","358.401489257813","160.37109375","-47.7689834989899","311.802978515625","159.6533203125","-58.0573243945195","131.7919921875","159.55078125","-48.40575979488","187.838745117188","160.37109375","-38.0116653246125","1.77978515625","161.0888671875","-34.1153866737074","28.1085205078125","158.6279296875","-46.7940073728973","208.092041015625","151.7578125","-53.6438305654565","181.422729492188","351.631652832031","8.69297504425049"
"26","7/22/2016","20:32:21","159.9609375","-49.1089377907391","358.225708007813","160.37109375","-47.7018991057506","311.802978515625","159.6533203125","-57.8739441086509","131.874389648438","159.6533203125","-48.3820579411541","187.833251953125","160.37109375","-37.9883841712171","1.790771484375","161.0888671875","-33.9686522784","28.1085205078125","158.6279296875","-46.7790862656","208.092041015625","151.7578125","-53.625689089869","181.422729492188","352.285339355469","8.03928852081299"
"27","7/22/2016","20:32:31","159.9609375","-48.7302131233923","358.016967773438","160.37109375","-47.5992764652465","311.808471679688","159.6533203125","-57.883271219922","131.929321289063","159.6533203125","-49.6304746932293","187.838745117188","160.37109375","-37.894258480248","1.845703125","161.0888671875","-34.1172911623962","28.10302734375","158.6279296875","-46.7668562008201","208.086547851563","151.7578125","-53.6446607271927","181.42822265625","352.933532714844","7.39109516143799"
"28","7/22/2016","20:32:41","159.9609375","-48.7182001947395","357.857666015625","160.4736328125","-45.3078225329733","311.81396484375","159.6533203125","-57.8987512946495","132.050170898438","159.55078125","-49.7998276874087","187.838745117188","160.37109375","-37.8731259807581","1.8896484375","161.0888671875","-34.0661263412741","28.0975341796875","158.8330078125","-44.3171587917192","208.086547851563","151.7578125","-53.6211109920592","181.433715820313","353.576232910156","6.75388813018799"
"29","7/22/2016","20:32:51","159.9609375","-48.8579359481548","357.769775390625","160.4736328125","-44.2720858927493","311.841430664063","159.55078125","-57.7486751443144","132.061157226563","159.6533203125","-48.9002009471347","187.838745117188","160.37109375","-37.8420193321732","1.9281005859375","161.0888671875","-34.158371960076","28.0975341796875","158.8330078125","-43.1916426013801","208.0810546875","151.7578125","-53.6416330785079","181.433715820313","354.224426269531","6.09470844268799"
"30","7/22/2016","20:33:01","159.9609375","-49.1472595214721","357.747802734375","160.4736328125","-44.2500866067407","311.918334960938","159.55078125","-57.6287656064806","132.072143554688","159.6533203125","-48.9144601957796","187.838745117188","160.37109375","-38.2653774011001","2.08740234375","161.0888671875","-34.2603231462346","28.092041015625","158.8330078125","-43.2011406283028","208.064575195313","151.7578125","-53.8103634513851","181.444702148438","354.883605957031","5.45200824737549"
"31","7/22/2016","20:33:11","159.9609375","-49.15654158304","357.747802734375","160.4736328125","-44.2513196410841","312.022705078125","159.4482421875","-57.5482765428543","132.138061523438","159.6533203125","-48.9550526630263","187.838745117188","160.37109375","-38.0223231363136","2.2247314453125","161.0888671875","-34.3345371637964","28.0755615234375","158.8330078125","-43.1876993331333","208.004150390625","151.7578125","-53.9086643675568","181.719360351563","355.531799316406","4.79282855987549"
"32","7/22/2016","20:33:21","159.9609375","-49.1946764065206","357.747802734375","160.4736328125","-44.2922783561556","312.110595703125","159.4482421875","-57.5853408227223","132.220458984375","159.6533203125","-48.8077233713771","187.838745117188","160.37109375","-38.0321996193219","2.252197265625","161.0888671875","-34.3459152628863","27.9986572265625","158.8330078125","-43.1948289574557","207.9052734375","151.7578125","-53.957009080428","182.493896484375","356.179992675781","4.15012836456299"
"33","7/22/2016","20:33:31","160.0634765625","-49.0597140830883","357.747802734375","160.4736328125","-44.2813641709771","312.203979492188","159.55078125","-57.4296977054505","132.225952148438","159.755859375","-48.7845154675468","187.833251953125","160.37109375","-38.0368387584358","2.2796630859375","161.0888671875","-33.7339517724572","27.8887939453125","158.8330078125","-43.2007865887389","207.877807617188","151.7578125","-53.9097386945095","182.845458984375","356.839172363281","3.49094867706299"
"34","7/22/2016","20:33:41","159.9609375","-48.5299488128013","357.747802734375","160.4736328125","-44.2996277291729","312.302856445313","159.4482421875","-57.4087727463946","132.2314453125","159.6533203125","-49.6583339444344","187.838745117188","160.37109375","-38.0389629958196","2.30712890625","161.0888671875","-33.755377270207","27.696533203125","158.8330078125","-43.2119449391339","207.745971679688","151.7578125","-53.7648266385038","182.92236328125","357.492858886719","2.84824848175049"
"35","7/22/2016","20:33:51","160.0634765625","-48.531792260186","357.747802734375","160.4736328125","-43.9226366348635","312.434692382813","159.4482421875","-57.5107727655966","132.269897460938","159.6533203125","-50.2707979735574","187.838745117188","160.37109375","-38.0567015987999","2.3895263671875","160.986328125","-33.8265270143014","27.5042724609375","158.8330078125","-42.8329638983098","207.674560546875","151.7578125","-53.7061537369737","183.021240234375","358.152038574219","2.18357563018799"
"36","7/22/2016","20:34:01","160.0634765625","-49.2174448129613","357.742309570313","160.4736328125","-43.9504104282428","312.522583007813","159.4482421875","-57.3751389878188","132.368774414063","159.6533203125","-49.6564416640064","187.838745117188","160.37109375","-38.2291554912291","2.4774169921875","161.0888671875","-33.7565492632463","27.454833984375","158.8330078125","-42.7323434125813","207.674560546875","151.6552734375","-53.6154097342534","183.021240234375","358.805725097656","1.54087543487549"
"37","7/22/2016","20:34:11","160.0634765625","-49.2174448129613","357.720336914063","160.37109375","-43.8785037719772","312.577514648438","159.4482421875","-57.29727470027","132.401733398438","159.755859375","-48.9632688225623","187.833251953125","160.37109375","-38.2291554912291","2.493896484375","160.986328125","-33.7788781722972","27.3614501953125","158.8330078125","-42.7012367639964","207.66357421875","151.7578125","-53.5804696917692","183.015747070313","359.459411621094","0.876202583312988"
"38","7/22/2016","20:34:21","160.0634765625","-49.2543992184819","357.637939453125","160.4736328125","-43.7466667633163","312.588500976563","159.4482421875","-57.2573781038904","132.467651367188","159.755859375","-48.8612565950995","187.833251953125","160.37109375","-38.2466377207321","2.52685546875","160.986328125","-34.2773048370437","27.344970703125","158.935546875","-42.6821430440644","207.416381835938","151.7578125","-53.469008270427","183.015747070313","0.118606567382813","0.233502388000488"
"39","7/22/2016","20:34:31","160.0634765625","-49.1694785561756","357.47314453125","160.37109375","-43.7369001546555","312.593994140625","159.4482421875","-57.2589041364936","132.4951171875","159.755859375","-48.8223732843684","187.833251953125","160.37109375","-38.2739842249825","2.5323486328125","160.986328125","-34.4741630428643","27.344970703125","158.8330078125","-42.696353459666","207.257080078125","151.7578125","-53.5247389810981","183.01025390625","0.772293031215668","359.574340820313"
"40","7/22/2016","20:34:41","160.0634765625","-48.6092292586059","357.396240234375","160.37109375","-43.6658847014301","312.599487304688","159.4482421875","-57.2423741513351","132.5390625","159.755859375","-48.7740041549755","187.827758789063","160.37109375","-37.6998053018102","2.537841796875","160.986328125","-34.207583459466","27.344970703125","158.935546875","-42.6863548940494","207.18017578125","151.7578125","-53.4807770338634","183.01025390625","1.43147277832031","358.920654296875"
"41","7/22/2016","20:34:51","160.0634765625","-48.7170159934393","357.34130859375","160.37109375","-43.93242895168","312.621459960938","159.4482421875","-57.3305788358036","132.588500976563","159.755859375","-49.4409780686869","187.827758789063","160.37109375","-37.6895747792379","2.5433349609375","160.986328125","-33.6780867709171","27.344970703125","158.8330078125","-43.0118027111511","207.1142578125","151.7578125","-53.4421012635664","183.01025390625","2.09614562988281","358.261474609375"
"42","7/22/2016","20:35:01","160.0634765625","-48.7170159934393","357.236938476563","160.2685546875","-44.0403364774877","312.632446289063","159.4482421875","-57.3900086495049","132.593994140625","159.755859375","-49.7901709530953","187.827758789063","160.37109375","-37.6895747792379","2.5543212890625","160.986328125","-33.4744896051205","27.3394775390625","158.935546875","-43.2289632547255","207.108764648438","151.7578125","-53.2631892011601","183.01025390625","2.74983215332031","357.607788085938"
"43","7/22/2016","20:35:11","160.0634765625","-49.4734764590059","357.220458984375","160.37109375","-44.0404341435744","312.637939453125","159.4482421875","-57.4157314550655","132.599487304688","159.755859375","-49.5180976523252","187.822265625","160.37109375","-37.2873802432","2.63671875","160.986328125","-33.3374152525653","27.333984375","158.935546875","-43.2452246581458","207.103271484375","151.7578125","-53.0141284720472","183.004760742188","3.40901184082031","356.943115234375"
"44","7/22/2016","20:35:21","160.0634765625","-49.4734764590059","357.171020507813","160.2685546875","-44.0979106355435","312.654418945313","159.4482421875","-57.4291849584958","132.610473632813","159.755859375","-49.5094664119212","187.816772460938","160.4736328125","-37.2873802432","2.6806640625","160.986328125","-33.6926634343434","27.333984375","158.935546875","-43.2864397466947","207.103271484375","151.7578125","-52.6060429374137","183.004760742188","4.07368469238281","356.283935546875"
"45","7/22/2016","20:35:31","160.0634765625","-49.5261062714271","357.132568359375","160.2685546875","-44.0167623258326","312.681884765625","159.4482421875","-57.333496610141","132.676391601563","159.755859375","-49.0562835617962","187.811279296875","160.4736328125","-37.2656307137914","2.7740478515625","160.8837890625","-33.7951395757176","27.333984375","158.935546875","-43.2665646980698","207.108764648438","151.7578125","-52.58449814176","183.004760742188","4.73286437988281","355.619262695313"
"46","7/22/2016","20:35:41","160.0634765625","-49.581287610361","357.12158203125","160.2685546875","-44.0017339567557","312.698364257813","159.4482421875","-57.41272425888","132.945556640625","159.755859375","-49.0895876973297","187.805786132813","160.4736328125","-37.2744572863686","2.8619384765625","160.8837890625","-33.7499445941394","27.322998046875","158.935546875","-43.3184620148415","207.108764648438","151.7578125","-52.5496651889189","183.004760742188","5.39753723144531","354.965576171875"
"47","7/22/2016","20:35:51","159.9609375","-49.581287610361","357.105102539063","160.2685546875","-43.9355041417742","312.720336914063","159.345703125","-57.4320416915292","133.082885742188","159.8583984375","-49.2516889845785","187.789306640625","160.4736328125","-37.2744572863686","2.9388427734375","160.8837890625","-33.6803575074307","27.301025390625","158.935546875","-43.3020296957696","207.108764648438","151.7578125","-52.4631330361836","183.004760742188","6.05671691894531","354.29541015625"
