"#","Date (UTC)","Time (UTC)","Solar Array 1A - Drive Voltage (V)","Solar Array 1A - Drive Current (A)","Solar Array 1A - BGA Position (degrees)","Solar Array 1B - Drive Voltage (V)","Solar Array 1B - Drive Current (A)","Solar Array 1B - BGA Position (degrees)","Solar Array 2A - Drive Voltage (V)","Solar Array 2A - Drive Current (A)","Solar Array 2A - BGA Position (degrees)","Solar Array 2B - DDrive Voltage (V)","Solar Array 2B - DDrive Current (A)","Solar Array 2B - DBGA Position (degrees)","Solar Array 3A - Drive Voltage (V)","Solar Array 3A - Drive Current (A)","Solar Array 3A - BGA Position (degrees)","Solar Array 3B - Drive Voltage (V)","Solar Array 3B - Drive Current (A)","Solar Array 3B - BGA Position (degrees)","Solar Array 4A - Drive Voltage (V)","Solar Array 4A - Drive Current (A)","Solar Array 4A - BGA Position (degrees)","Solar Array 4B - DDrive Voltage (V)","Solar Array 4B - DDrive Current (A)","Solar Array 4B - DBGA Position (degrees)","Starboard Joint Angle Position (degrees)","Port Joint Angle Position (degrees)"
"1","7/22/2016","20:16:51","151.7578125","-49.8400172820482","1.790771484375","159.140625","-45.7931985668967","308.38623046875","151.7578125","-59.41420274432","127.716064453125","151.6552734375","-49.9264761852185","192.090454101563","158.3203125","-37.3419201356936","358.22021484375","160.78125","-36.1765317654965","32.3052978515625","155.3466796875","-46.2373595122712","212.316284179688","151.7578125","-58.3501639469547","177.830200195313","294.629089355469","65.4153900146484"
"2","7/22/2016","20:17:01","151.7578125","-49.8391627037904","1.768798828125","159.2431640625","-45.7982527868787","308.4521484375","151.7578125","-59.6261835767577","127.72705078125","151.6552734375","-50.2514112553655","191.914672851563","158.4228515625","-37.3358770465847","358.280639648438","160.8837890625","-36.1018172092409","32.27783203125","157.294921875","-44.8854899579558","212.2998046875","151.7578125","-58.3235865631363","178.104858398438","295.238830566406","64.8166351318359"
"3","7/22/2016","20:17:11","151.7578125","-50.090701709851","1.7633056640625","159.345703125","-45.304123429943","308.468627929688","151.6552734375","-59.6875911287129","127.738037109375","151.6552734375","-50.56990929536","191.760864257813","158.4228515625","-37.297103610201","358.302612304688","160.78125","-36.4123465316132","32.2283935546875","157.5","-44.3689340258826","212.178955078125","151.7578125","-58.3251003874787","178.291625976563","295.837585449219","64.2123870849609"
"4","7/22/2016","20:17:21","151.7578125","-50.6257653653365","1.7578125","159.345703125","-45.2623345531353","308.468627929688","151.6552734375","-59.5791451477948","127.754516601563","151.6552734375","-50.4961258436244","191.6455078125","158.525390625","-37.2490763121112","358.302612304688","160.8837890625","-36.89997762176","32.178955078125","157.5","-44.29063233344","211.810913085938","151.7578125","-57.9041351376738","178.43994140625","296.430847167969","63.6191215515137"
"5","7/22/2016","20:17:31","151.7578125","-50.6203204810081","1.7523193359375","159.4482421875","-45.2358548354035","308.468627929688","151.6552734375","-59.5296650666667","127.908325195313","151.6552734375","-50.5822184989699","191.62353515625","158.6279296875","-37.5735108435644","358.302612304688","160.8837890625","-36.9359954632263","32.1185302734375","157.5","-44.2472664984899","211.558227539063","151.7578125","-57.7193997348535","178.489379882813","297.029602050781","63.0203666687012"
"6","7/22/2016","20:17:41","151.8603515625","-50.6385718309431","1.7523193359375","159.4482421875","-45.2286275449945","308.468627929688","151.7578125","-59.5032097654565","128.1884765625","151.6552734375","-50.8110379316332","191.618041992188","158.6279296875","-37.9801924282028","358.302612304688","160.8837890625","-36.16224810033","32.05810546875","157.6025390625","-44.1864083182718","211.393432617188","151.7578125","-57.6498492729273","178.500366210938","297.639343261719","62.4216117858887"
"7","7/22/2016","20:17:51","151.7578125","-50.5749301672567","1.746826171875","159.4482421875","-45.3241327694369","308.468627929688","151.6552734375","-59.3984628875688","128.243408203125","151.6552734375","-50.2438909666967","191.618041992188","158.73046875","-37.9649198939094","358.302612304688","160.8837890625","-35.5140016587259","32.0086669921875","157.705078125","-44.2362912720072","211.360473632813","151.7578125","-57.5677609271327","178.494873046875","298.232604980469","61.8228569030762"
"8","7/22/2016","20:18:01","151.7578125","-49.82397370208","1.746826171875","159.55078125","-45.3677284688469","308.468627929688","151.6552734375","-59.5538740478848","128.435668945313","151.6552734375","-50.3316439455146","191.612548828125","158.935546875","-38.0006412650865","358.302612304688","160.986328125","-35.20962529981","31.981201171875","157.705078125","-44.2216657755376","211.3330078125","151.7578125","-57.5630973714971","178.494873046875","298.836853027344","61.2186088562012"
"9","7/22/2016","20:18:11","151.7578125","-49.5744509842984","1.7413330078125","159.55078125","-45.5116394474647","308.468627929688","151.7578125","-59.5062374141414","128.512573242188","151.6552734375","-50.2763527322332","191.612548828125","158.935546875","-37.9595238426243","358.302612304688","160.8837890625","-35.1875283477148","31.81640625","157.705078125","-44.3641117628563","211.3330078125","151.7578125","-57.2823317890189","178.494873046875","299.446594238281","60.6198539733887"
"10","7/22/2016","20:18:21","151.7578125","-49.5183540258026","1.73583984375","159.55078125","-45.7611274657066","308.468627929688","151.7578125","-59.5917196564456","128.534545898438","151.6552734375","-50.7578221226923","191.612548828125","159.0380859375","-37.8841378320232","358.302612304688","160.986328125","-35.2109682085009","31.607666015625","157.8076171875","-44.6544242053005","211.3330078125","151.7578125","-57.3089091728373","178.494873046875","300.034362792969","60.0210990905762"
