"#","Date (UTC)","Time (UTC)","Solar Array 1A - Drive Voltage (V)","Solar Array 1A - Drive Current (A)","Solar Array 1A - BGA Position (degrees)","Solar Array 1B - Drive Voltage (V)","Solar Array 1B - Drive Current (A)","Solar Array 1B - BGA Position (degrees)","Solar Array 2A - Drive Voltage (V)","Solar Array 2A - Drive Current (A)","Solar Array 2A - BGA Position (degrees)","Solar Array 2B - DDrive Voltage (V)","Solar Array 2B - DDrive Current (A)","Solar Array 2B - DBGA Position (degrees)","Solar Array 3A - Drive Voltage (V)","Solar Array 3A - Drive Current (A)","Solar Array 3A - BGA Position (degrees)","Solar Array 3B - Drive Voltage (V)","Solar Array 3B - Drive Current (A)","Solar Array 3B - BGA Position (degrees)","Solar Array 4A - Drive Voltage (V)","Solar Array 4A - Drive Current (A)","Solar Array 4A - BGA Position (degrees)","Solar Array 4B - DDrive Voltage (V)","Solar Array 4B - DDrive Current (A)","Solar Array 4B - DBGA Position (degrees)","Starboard Joint Angle Position (degrees)","Port Joint Angle Position (degrees)"
"LIVE","7/22/2016","22:27:55","160.2685546875","-42.4225587941194","353.875122070313","159.2431640625","-45.6865960333633","316.131591796875","158.4228515625","-53.8311785360936","136.246948242188","160.0634765625","-45.4933270562256","184.301147460938","159.755859375","-40.430219460346","6.251220703125","160.37109375","-31.0233149964596","23.7359619140625","159.140625","-45.0497521073707","203.785400390625","160.166015625","-44.1994955738774","185.987548828125","87.4544219970703","272.606567382813"
"1","7/22/2016","20:45:30","160.166015625","-48.7316170733873","354.666137695313","159.345703125","-46.3562923892389","315.269165039063","158.4228515625","-56.8853313552155","135.24169921875","159.9609375","-48.2940119640764","184.608764648438","158.6279296875","-38.3379188869287","5.2459716796875","160.37109375","-33.6122109954996","24.6258544921875","159.0380859375","-45.5361780517252","204.3896484375","159.4482421875","-51.5505655394339","185.641479492188","45.7228546142578","314.552368164063"
"2","7/22/2016","20:45:40","160.166015625","-48.6823567409541","354.66064453125","159.345703125","-46.3133681441744","315.269165039063","158.4228515625","-56.8259992076008","135.340576171875","160.0634765625","-47.7525878047005","184.608764648438","158.73046875","-38.1799073670567","5.240478515625","160.37109375","-33.8265880556056","24.620361328125","159.140625","-45.5258864878488","204.312744140625","159.4482421875","-51.320390989819","185.635986328125","46.4259796142578","313.832763671875"
"3","7/22/2016","20:45:50","160.166015625","-48.811520140494","354.66064453125","159.345703125","-46.3395670719072","315.274658203125","158.4228515625","-56.7267826718672","135.3515625","160.0634765625","-47.8111874566657","184.608764648438","158.8330078125","-38.2005637443744","5.240478515625","160.37109375","-34.0960976216022","24.609375","159.0380859375","-45.5216868461246","204.307250976563","159.4482421875","-50.8771822887889","185.635986328125","47.1345977783203","313.124145507813"
"4","7/22/2016","20:46:00","160.166015625","-49.3049536265627","354.655151367188","159.345703125","-46.3326694045405","315.274658203125","158.4228515625","-56.8281478615062","135.357055664063","160.0634765625","-47.9646941282928","184.608764648438","158.8330078125","-38.3587217633763","5.2349853515625","160.37109375","-34.0133988627663","24.609375","159.0380859375","-45.4809967127913","204.312744140625","159.55078125","-50.8771822887889","185.635986328125","47.8377227783203","312.432006835938"
"5","7/22/2016","20:46:10","160.166015625","-49.3064186178618","354.649658203125","159.345703125","-46.2978237136","315.302124023438","158.4228515625","-56.8673730035404","135.357055664063","159.9609375","-48.4760859660366","184.608764648438","158.8330078125","-38.3924043549955","5.2349853515625","160.37109375","-33.7999984635264","24.598388671875","159.140625","-45.4432731868387","204.312744140625","159.55078125","-50.8830056292029","185.635986328125","48.5408477783203","311.723388671875"
"6","7/22/2016","20:46:20","160.166015625","-49.2867389014101","354.638671875","159.345703125","-46.2984984824882","315.390014648438","158.4228515625","-56.9885522005","135.357055664063","159.9609375","-48.9605585886589","184.608764648438","158.935546875","-38.3462937538554","5.2349853515625","160.37109375","-33.5464817192119","24.58740234375","159.140625","-45.4097248860886","204.312744140625","159.55078125","-50.9277489051305","185.635986328125","49.2439727783203","311.020263671875"
"7","7/22/2016","20:46:30","160.166015625","-49.3334110825483","354.644165039063","159.345703125","-46.3147965106911","315.401000976563","158.4228515625","-57.00259170045","135.357055664063","159.9609375","-48.9907984507251","184.608764648438","158.935546875","-38.3627504894489","5.240478515625","160.37109375","-33.8959309770977","24.5709228515625","159.140625","-45.3653844827683","204.318237304688","159.55078125","-50.9273216160016","185.630493164063","49.9470977783203","310.300659179688"
"8","7/22/2016","20:46:40","160.166015625","-48.6897061139714","354.644165039063","159.4482421875","-46.3376625832183","315.411987304688","158.4228515625","-56.9321378272227","135.357055664063","159.9609375","-48.7865298305831","184.608764648438","158.935546875","-38.14841601664","5.2459716796875","160.37109375","-34.2652186588259","24.5379638671875","159.0380859375","-45.3213614942294","204.318237304688","159.55078125","-50.78823220576","185.635986328125","50.6502227783203","309.586547851563"
"9","7/22/2016","20:46:50","160.166015625","-48.6883754135414","354.633178710938","159.345703125","-46.2963009955396","315.411987304688","158.4228515625","-56.87584643264","135.357055664063","160.0634765625","-48.2197491134713","184.608764648438","158.935546875","-37.8079949092509","5.25146484375","160.37109375","-34.4856143915192","24.510498046875","159.140625","-45.26994029963","204.318237304688","159.6533203125","-50.78823220576","185.630493164063","51.3533477783203","308.8779296875"
"10","7/22/2016","20:47:00","160.166015625","-48.8382440234423","354.627685546875","159.4482421875","-46.3108044094009","315.41748046875","158.4228515625","-56.7911568312031","135.362548828125","160.0634765625","-47.8745727468747","184.608764648438","159.0380859375","-37.7172509065307","5.262451171875","160.37109375","-34.249274670187","24.49951171875","159.140625","-45.2610038527053","204.32373046875","159.6533203125","-50.7947032786479","185.630493164063","52.0619659423828","308.163818359375"
"11","7/22/2016","20:47:01","160.166015625","-48.8382440234423","354.627685546875","159.2431640625","-46.3108044094009","315.411987304688","158.4228515625","-56.7911568312031","135.362548828125","160.0634765625","-47.913016560216","184.608764648438","159.0380859375","-37.7172509065307","5.2569580078125","160.37109375","-34.249274670187","24.5050048828125","159.140625","-45.2610038527053","204.32373046875","159.6533203125","-50.6278285614161","185.630493164063","52.0619659423828","308.163818359375"
"12","7/22/2016","20:47:01","160.166015625","-48.8382440234423","354.627685546875","159.2431640625","-46.3108044094009","315.411987304688","158.4228515625","-56.7911568312031","135.362548828125","160.0634765625","-47.913016560216","184.608764648438","159.0380859375","-37.7172509065307","5.2569580078125","160.37109375","-34.249274670187","24.5050048828125","159.140625","-45.2610038527053","204.32373046875","159.6533203125","-50.6278285614161","185.630493164063","52.0619659423828","308.163818359375"
